Films_Names,Stars,Category
Breaking Bad,9.5,"Boxing , Docudrama , Action , Biography , Drama , History , Sport"
Game of Thrones,9.199999809265137,"Crime , Drama , Thriller"
Dexter: Resurrection,9.199999809265137,"Action Epic , Dark Fantasy , Epic , Fantasy Epic , Psychological Drama , Sword & Sorcery , Tragedy , Action , Adventure , Drama"
The Smashing Machine,8.800000190734863,"Dark Comedy , Drug Crime , Epic , Psychological Drama , Psychological Thriller , Tragedy , Crime , Drama , Thriller"
