Names_Popular_Celebs,ChangesInRank,Rank,Role,KnownFor,Year_of_MostPopularRole,Year_of_MostPopularRole_dt
Quentin Tarantino,6,83,"Writer,Producer,Actor",Reservoir Dogs,1992,1992-01-01
Sydney Agudong,3908,84,"Actress,Writer,Music Artist",Lilo & Stitch,2025,2025-01-01
Pedro Pascal,31,85,"Actor,Producer,Soundtrack",The Last of Us,2023,2023-01-01
Scarlett Johansson,8,86,"Actress,Producer,Director",Lost in Translation,2003,2003-01-01
Emily Blunt,249,87,"Actress,Producer,Additional Crew",Edge of Tomorrow,2014,2014-01-01
Ana de Armas,11,88,"Actress,Producer",Blade Runner 2049,2017,2017-01-01
Christian Bale,17,89,"Actor,Producer,Editorial Department",The Dark Knight,2008,2008-01-01
Jake Gyllenhaal,1,90,"Actor,Producer,Camera and Electrical Department",Nightcrawler,2014,2014-01-01
Paul Freeman,44,91,Actor,Raiders of the Lost Ark,1981,1981-01-01
Nicholas Hoult,30,92,"Actor,Producer,Executive",About a Boy,2002,2002-01-01
Rebecca Ferguson,123,93,"Actress,Producer,Soundtrack",The Greatest Showman,2017,2017-01-01
James Gunn,28,94,"Writer,Producer,Director",Guardians of the Galaxy,2014,2014-01-01
Alex Lawther,30,95,"Actor,Director,Writer",The End of the F***ing World,2017,2017-01-01
Joy Sunday,321,96,"Actress,Producer,Director",Wednesday,2022,2022-01-01
Julie Delpy,86,97,"Actress,Writer,Producer",Three Colors: White,1994,1994-01-01
Idris Elba,185,98,"Actor,Producer,Writer",Beasts of No Nation,2015,2015-01-01
Matthew Goode,17,99,Actor,Stoker,2013,2013-01-01
Freya Allan,1428,100,"Actress,Additional Crew",Kingdom of the Planet of the Apes,2024,2024-01-01
